no,Time 秒,UserID/MemID,設置點,緯度,經度,BPL UID
190,2/3/2022 11:18:32 AM,U863b8cae579201d96dab41d5e002a5a3,秋喜肉蛋吐司,23.56867,119.5675,230663
191,2/3/2022 11:22:16 AM,U863b8cae579201d96dab41d5e002a5a3,台灣大餅早午餐,23.56718,119.56441,230671
192,2/3/2022 11:28:36 AM,U863b8cae579201d96dab41d5e002a5a3,源利軒黑糖糕老店,23.56572,119.56496,230689
193,2/3/2022 11:31:34 AM,U50284f2fcdf83512e9e4968a77e2a672,和樂旅行社,23.56371,119.568,230697
194,2/3/2022 11:39:13 AM,U863b8cae579201d96dab41d5e002a5a3,達咖啡,23.56737,119.56745,230709
195,2/3/2022 12:04:48 PM,U30edaf2003e2b0a69fa35c19403c7eb0,出櫃茶飲連鎖專賣店,23.56525,119.56726,230758
196,2/3/2022 12:27:06 PM,U59c38134bd6de5981640f093e7b736a0,澎湖機場-智販機,23.56005046,119.62954,230810
197,2/3/2022 12:28:59 PM,U59c38134bd6de5981640f093e7b736a0,澎湖機場-服務中心,23.56111,119.62994,230816
198,2/3/2022 12:35:50 PM,Ud396de5c092143ad087e50d3fbcd042d,巴適麻辣鍋,23.57185,119.58141,230829
199,2/3/2022 12:39:23 PM,U3bc29efa4e459e4802139b075e9574e8,敲好吃～蔥抓餅,23.56605,119.56615,230836
200,2/3/2022 12:51:21 PM,U7f8cc11658910a8d1e4cbb29fdd94e25,菊楓食堂日式料理,23.57538,119.58058,230870
201,2/3/2022 12:55:29 PM,U8f4ff1ca33fbab36a6affeca623b88db,漁夫才哥企業社,23.58167831,119.638447,230871
202,2/3/2022 12:57:19 PM,U22810a86bf6c88e1580fc68bb22cc23c,菊島石齋,23.5642,119.5645,230875
203,2/3/2022 1:05:38 PM,Ud66db3a385e85e727a0ab9f3d4130cc0,好享吃小火鍋,23.56745,119.56641,230894
204,2/3/2022 1:26:46 PM,U50284f2fcdf83512e9e4968a77e2a672,看見澎湖旅行社,23.52654,119.56856,230931
205,2/3/2022 1:37:37 PM,U863b8cae579201d96dab41d5e002a5a3,澎湖機場-服務中心,23.56111,119.62994,230956
206,2/3/2022 1:51:22 PM,U3dc4122ffdd99c7b1151c06b6570112f,巴適麻辣鍋,23.57185,119.58141,231007
207,2/3/2022 1:51:43 PM,U863b8cae579201d96dab41d5e002a5a3,澎湖機場站,23.55976476,119.6294864,231010
208,2/3/2022 1:54:07 PM,U6594f5623ade5662784accad1314115c,壹咖啡-湖西店,23.58463,119.6588,231014
209,2/3/2022 1:54:44 PM,U84d3f6e73571a6a5db8cabb3f2759eaa,澎湖樂法Le Phare,23.5652,119.56654,231018
210,2/3/2022 2:04:05 PM,U3bc29efa4e459e4802139b075e9574e8,多那之澎湖店,23.56483,119.56537,231045
211,2/3/2022 2:37:37 PM,U835eee6a73565b69ee7c7c4a10818899,海上人家?飲,23.57154,119.57403,231144
212,2/3/2022 2:39:41 PM,Ua5d612b844f3c29bede3e6e5528797f5,澎湖機場站,23.55976476,119.6294864,231154
